mondo_id	property	value_old	value_new
MONDO:0007723	definition	An inherited susceptibility or predisposition to developing Hirschsprung disease in which the cause of the disease is a mutation in the RET gene.	Any Hirschsprung disease in which the cause of the disease is a mutation in the RET gene.
MONDO:0020208	definition	OBSOLETE. A myopia (disease) that is part of a larger syndrome.	A myopia (disease) that is part of a larger syndrome.
MONDO:0007749	definition		A condition caused by autosomal recessive loss-of-function mutation(s) in the CYP24A1 or SLC34A1 gene, encoding mitochondrial 1,25-dihydroxyvitamin D(3) 24-hydroxylase, and sodium-dependent phosphate transport protein 2A, respectively. This condition is characterized by vomiting, polyuria, dehydration, and failure to thrive, accompanied by hypercalcemia, suppressed parathyroid hormone, and nephrocalcinosis.
MONDO:0007761	definition	OBSOLETE. A laboratory test result indicating an autosomal dominant condition in which there is increased very low density lipoprotein production, which leads to increased triglyceride concentration.	A laboratory test result indicating an autosomal dominant condition in which there is increased very low density lipoprotein production, which leads to increased triglyceride concentration.
MONDO:0007764	definition	A sclerozing bone disorder characterized by generalized skeletal densification, particularly of the cranial vault and tubular long bones, which is not associated to an increased risk of fracture.	Worth type autosomal dominant osteosclerosis is a sclerozing bone disorder characterized by generalized skeletal densification, particularly of the cranial vault and tubular long bones, which is not associated to an increased risk of fracture.
MONDO:0007766	definition	Morgagni-Stewart-Morel syndrome is characterized by thickening of the inner table of the frontal bone, sometimes associated with obesity and hypertrichosis. It mainly affects women over 35 years of age. The prevalence and clinical significance of hyperostosis frontalis interna is unknown. Transmission is either X-linked or autosomal dominant.	Morgagni-Stewart-Morel syndrome is characterised by thickening of the inner table of the frontal bone, sometimes associated with obesity and hypertrichosis. It mainly affects women over 35 years of age. The prevalence and clinical significance of hyperostosis frontalis interna is unknown. Transmission is either X-linked or autosomal dominant.
MONDO:0019162	definition	A rare inherited form of hypertension characterized by hyperkalemia, hyperchloremic metabolic acidosis, normal or elevated aldosterone, low renin, and normal renal function.	Pseudohypoaldosteronism type 2 (PHA2) is a rare inherited form of hypertension characterized by hyperkalemia, hyperchloremic metabolic acidosis, normal or elevated aldosterone, low renin, and normal renal function.
MONDO:0007778	definition	OBSOLETE. A condition in which there is an abnormally increased distance between two organs or bodily parts; most often, this term is referring to an increased distance between the orbits (orbital hypertelorism).	A condition in which there is an abnormally increased distance between two organs or bodily parts; most often, this term is referring to an increased distance between the orbits (orbital hypertelorism).
MONDO:0007779	definition	OBSOLETE. Autosomal dominant form of Opitz G/BBB syndrome.	Autosomal dominant form of Opitz G/BBB syndrome.
MONDO:0007780	definition		Teebi type hypertelorism is a rare genetic disease characterized by hypertelorism with facial features that can closely resemble craniofrontonasal dysplasia, such as prominent forehead, widow's peak, heavy and broad eyebrows, long palpebral fissures, ptosis, high and broad nasal bridge, short nose, low-set ears, natal teeth, thin upper lip and a grooved chin, as well as limb (i.e. fifth-finger clinodactyly, pes adductus, mild interdigital webbing), urogenital (i.e. bilateral cryptorchidism and shawl scrotum in males) and umbilical (i.e. hernia/small omphalocele) anomalies and cardiac (i.e. ventricular or atrial septal defect, patent ductus arteriosus) defects. Additional findings such as polycystic kidneys and iridochorioretinal colobomas have also been reported and psychomotor development is normal. The facial features can also resemble Aarskog and Opitz G/BBB syndromes.
MONDO:0018493	definition	A pharmacogenetic disorder of skeletal muscle that presents as a hypermetabolic response to potent volatile anesthetic gasses such as halothane, sevoflurane, desflurane and the depolarizing muscle relaxant succinylcholine, and rarely, to stresses such as vigorous exercise and heat.	Malignant hyperthermia (MH) is a pharmacogenetic disorder of skeletal muscle that presents as a hypermetabolic response to potent volatile anesthetic gases such as halothane, sevoflurane, desflurane and the depolarizing muscle relaxant succinylcholine, and rarely, to stresses such as vigorous exercise and heat.
MONDO:0007788	definition		An instance of hypertriglyceridemia (disease) that is caused by an inherited modification of the individual's genome.
MONDO:0007795	definition	Mullerian duct anomalies-limb anomalies syndrome is characterized by the association of mullerian duct and distal limb anomalies. It has been described in five individuals from one family. Females presented with anomalies ranging from a vaginal septum to complete duplication of uterus and vagina, and males presented with micropenis. The limb anomalies varied from postaxial polydactyly to severe upper limb hypoplasia with split hand. The mode of transmission is autosomal dominant.	Mullerian duct anomalies-limb anomalies syndrome is characterised by the association of mullerian duct and distal limb anomalies. It has been described in five individuals from one family. Females presented with anomalies ranging from a vaginal septum to complete duplication of uterus and vagina, and males presented with micropenis. The limb anomalies varied from postaxial polydactyly to severe upper limb hypoplasia with split hand. The mode of transmission is autosomal dominant.
MONDO:0007798	definition	OBSOLETE. Adult hypophosphatasia (A-HPP) is a mildform of hypophosphatasia characterized by osteomalacia, chondrocalcinosis, osteoarthropathy, stress fractures duringmiddle age, and dental anomalies.	Adult hypophosphatasia (A-HPP) is a mildform of hypophosphatasia characterized by osteomalacia, chondrocalcinosis, osteoarthropathy, stress fractures duringmiddle age, and dental anomalies.
MONDO:0007806	definition		Any hypotrichosis in which the cause of the disease is a mutation in the HR gene.
MONDO:0018631	definition	A rare autosomal dominant hair loss disorder characterized by the absence or scarcity of scalp hair, eyebrows, and eyelashes at birth; coarse and wiry hair during childhood; and progressive hair loss beginning around puberty.	Marie Unna hereditary hypotrichosis (MUHH) is a rare autosomal dominant hair loss disorder characterized by the absence or scarcity of scalp hair, eyebrows, and eyelashes at birth; coarse and wiry hair during childhood; and progressive hair loss beginning around puberty.
MONDO:0015947	definition	Mendelian disorders of cornification affecting all or most of integument characterized by hyperkeratosis and/or scaling, caused by an inherited modification of the individual's genome.	An instance of ichthyosis (disease) that is caused by an inherited modification of the individual's genome.
MONDO:0007811	definition	Ichthyosis-cheek-eyebrow syndrome is characterized by ichthyosis, prominent full cheeks and sparse lateral eyebrows. It has been described in several individuals from four generations of one family. Transmission is autosomal dominant.	Ichthyosis-cheek-eyebrow syndrome is characterised by ichthyosis, prominent full cheeks and sparse lateral eyebrows. It has been described in several individuals from four generations of one family. Transmission is autosomal dominant.
MONDO:0017778	definition	A keratinization disorder characterized by the presence of large scales all over the body without significant erythroderma.	Lamellar ichthyosis (LI) is a keratinization disorder characterized by the presence of large scales all over the body without significant erythroderma.
MONDO:0007827	definition	A slowly progressive degenerative inflammatory disorder of skeletal muscles characterized by late onset weakness of specific muscles and distinctive histopathological features.	Inclusion body myositis (IBM) is a slowly progressive degenerative inflammatory disorder of skeletal muscles characterized by late onset weakness of specific muscles and distinctive histopathological features.
MONDO:0019072	definition	A cholestasis characterized by impairment of the bile flow caused by obstruction located in the liver.	Intrahepatic cholestasis of pregnancy (ICP) is a cholestatic disorder characterized by (i) pruritus with onset in the second or third trimester of pregnancy, (ii) elevated serum aminotransferases and bile acid levels, and (iii) spontaneous relief of signs and symptoms within two to three weeks after delivery.
MONDO:0007837	definition	Johnson neuroectodermal syndrome is characterized by alopecia, anosmia or hyposmia, conductive deafness with malformed ears and microtia and/or atresia of the external auditory canal, and hypogonadotropic hypogonadism.	Johnson neuroectodermal syndrome is characterised by alopecia, anosmia or hyposmia, conductive deafness with malformed ears and microtia and/or atresia of the external auditory canal, and hypogonadotropic hypogonadism.
MONDO:0007838	definition	A multiple congenital anomaly/intellectual disability contiguous gene syndrome caused by partial deletion of the long arm of chromosome 11.	Jacobsen syndrome is a multiple congenital anomaly/mental retardation (MCA/MR) contiguous gene syndrome caused by partial deletion of the long arm of chromosome 11.
MONDO:0007839	definition	Aase-Smith syndrome type I is a very rare genetic disorder characterized by the following congenital malformations: hydrocephalus (due to Dandy-Walker anomaly), cleft palate, and severe joint contractures.	Aase-Smith syndrome type I is a very rare genetic disorder characterised by the following congenital malformations: hydrocephalus (due to Dandy-Walker anomaly), cleft palate, and severe joint contractures.
MONDO:0007842	definition	A type of Ehlers-Danlos syndrome characterized by generalized joint hypermobility often complicated by dislocation of major joints, particularly the shoulder but in some cases the kneecap. Congenital hip dislocation has also been frequently reported. The syndrome has been described in several families. It is transmitted as an autosomal dominant trait, with high penetrance.	Ehlers-Danlos syndrome, type 11, is characterised by generalized joint hypermobility often complicated by dislocation of major joints, particularly the shoulder but in some cases the kneecap. Congenital hip dislocation has also been frequently reported. The syndrome has been described in several families. It is transmitted as an autosomal dominant trait, with high penetrance.
MONDO:0007846	definition	KBG syndrome is a rare condition characterized by a typical facial dysmorphism, macrodontia of the upper central incisors, skeletal (mainly costovertebral) anomalies and developmental delay.	KBG syndrome is a rare condition characterised by a typical facial dysmorphism, macrodontia of the upper central incisors, skeletal (mainly costovertebral) anomalies and developmental delay.
MONDO:0007848	definition	Hereditary keratitis is characterized by opacification and vascularisation of the cornea, often associated with macula hypoplasia.	Hereditary keratitis is characterised by opacification and vascularisation of the cornea, often associated with macula hypoplasia.
MONDO:0007856	definition	An inherited condition characterized by palmoplantar keratoderma and esophageal cancer. The palmoplantar keratoderma usually begins around age 10, and esophageal cancer may form after age 20. This condition is caused by a mutation in the RHBDF2 gene and is inherited in an autosomal dominant pattern.	Tylosis with esophageal cancer (TOC) is an inherited condition characterized by palmoplantar keratoderma and esophageal cancer. The palmoplantar keratoderma usually begins around age 10, and esophageal cancer may form after age 20. This condition is caused by a mutation in the RHBDF2 gene and is inherited in an autosomal dominant pattern.
MONDO:0007857	definition	Keratosis palmaris et plantaris-clinodactyly syndrome is characterized by the association of palmoplantar keratosis with clinodactyly of the fifth finger. Less than 20 cases have been described in the literature so far, and the majority of reported patients were of Mexican origin. Transmission is autosomal dominant.	Keratosis palmaris et plantaris-clinodactyly syndrome is characterised by the association of palmoplantar keratosis with clinodactyly of the fifth finger. Less than 20 cases have been described in the literature so far, and the majority of reported patients were of Mexican origin. Transmission is autosomal dominant.
MONDO:0018094	definition	A disorder characterized by varying degrees of deafness and minor defects in structures arising from neural crest, including pigmentation anomalies of eyes, hair, and skin. WS is classified into four clinical and genetic phenotypes.	Waardenburg syndrome (WS) is a disorder characterized by varying degrees of deafness and minor defects in structures arising from neural crest, including pigmentation anomalies of eyes, hair, and skin. WS is classified into four clinical and genetic phenotypes.
MONDO:0007863	definition	Kleine-Levin syndrome (KLS) is a rare neurological disorder of unknown origin characterized by relapsing-remitting episodes of hypersomnia in association with cognitive and behavioral disturbances.	Kleine-Levin syndrome (KLS) is a rare neurological disorder of unknown origin characterised by relapsing-remitting episodes of hypersomnia in association with cognitive and behavioural disturbances.
MONDO:0007864	definition	A congenital vascular bone syndrome (CVBS) characterized by the presence of a vascular malformation in a limb, mainly of the arteriovenous type, which results in overgrowth of the affected limb.	Angio-osteohypertrophic (AOH) syndrome is a congenital vascular bone syndrome (CVBS) characterized by the presence of a vascular malformation in a limb, mainly of the arteriovenous type, which results in overgrowth of the affected limb.
MONDO:0007872	definition	A multiple congenital anomaly syndrome characterized by hypoplasia, aplasia or atresia of the lacrimal system; anomalies of the ears and hearing loss; hypoplasias, apalsias or atresias of the salivary glands; dental anomalies and digital malformations.	Lacrimoauriculodentodigital (LADD) syndrome is a multiple congenital anomaly syndrome characterized by hypoplasia, aplasia or atresia of the lacrimal system; anomalies of the ears and hearing loss; hypoplasias, apalsias or atresias of the salivary glands; dental anomalies and digital malformations.
MONDO:0010639	definition	Laryngeal abductor paralysis-intellectual disability syndrome is characterized by congenital and permanent laryngeal abductor paralysis, associated, in the majority of cases, with intellectual deficit. It has been described in several families. X-linked inheritance is likely.	Laryngeal abductor paralysis-intellectual disability syndrome is characterised by congenital and permanent laryngeal abductor paralysis, associated, in the majority of cases, with intellectual deficit. It has been described in several families. X-linked inheritance is likely.
MONDO:0044988	definition	OBSOLETE. A disease or disorder that involves the hip.	A disease or disorder that involves the hip.
MONDO:0007893	definition	A rare multisystem genetic disorder characterized by lentigines, hypertrophic cardiomyopathy, short stature, pectus deformity, and dysmorphic facial features.	Noonan syndrome with multiple lentigines (NSML), previously known as LEOPARD syndrome, is a rare multisystem genetic disorder characterized by lentigines, hypertrophic cardiomyopathy, short stature, pectus deformity, and dysmorphic facial features.
MONDO:0007903	definition		Any Li-Fraumeni syndrome in which the cause of the disease is a mutation in the TP53 gene.
MONDO:0018875	definition	A rare cancer predisposition syndrome characterized by the early-onset of multiple primary cancers such as breast cancer, soft tissue and bone sarcomas, brain tumors and adrenal cortical carcinoma (ACC).	Li-Fraumeni syndrome (LFS) is a rare cancer predisposition syndrome characterized by the early-onset of multiple primary cancers such as breast cancer, soft tissue and bone sarcomas, brain tumors and adrenal cortical carcinoma (ACC).
MONDO:0007917	definition	Lymphedema-cerebral arteriovenous anomaly syndrome is characterized by the variable association of a cerebrovascular malformation, foot lymphoedema and primary pulmonary hypertension. It has been described in a woman and four of her children.	Lymphedema-cerebral arteriovenous anomaly syndrome is characterised by the variable association of a cerebrovascular malformation, foot lymphoedema and primary pulmonary hypertension. It has been described in a woman and four of her children.
MONDO:0007921	definition	A very rare syndromic disorder characterized by the variable triad of characteristic yellow nails, chronic respiratory manifestations, and primary lymphedema.	Yellow nail syndrome (YNS) is a very rare syndromic disorder characterized by the variable triad of characteristic yellow nails, chronic respiratory manifestations, and primary lymphedema.
MONDO:0015185	definition	A syndrome associated with the development of multiple polyps throughout the intestine. It includes familial adenomatous polyposis , hamartomatous polyposis syndromes, and other rare polyposis syndromes.	
MONDO:0007946	definition	Marcus-Gunn syndrome is characterized by ptosis associated with maxillopalpebral synkinesis.	Marcus-Gunn syndrome is characterised by ptosis associated with maxillopalpebral synkinesis.
MONDO:0018868	definition	A rare lysosomal storage disorder characterized by intralysosomal accumulation of sulfatides in various tissues, leading to progressive deterioration of motor and neurocognitive function.	A rare lysosomal storage disorder characterized byintralysosomal accumulation of sulfatides in various tissues, leading to progressive deterioration of motor and neurocognitive function.
MONDO:0007991	definition	Microcephaly-deafness-intellectual disability syndrome is characterized by microcephaly, deafness, intellectual deficit and facial dysmorphism (facial asymmetry, prominent glabella, low-set and cup-shaped ears, protruding lower lip, micrognathia). It has been described in a mother and her son. The mode of inheritance is probably autosomal dominant.	Microcephaly-deafness-intellectual disability syndrome is characterised by microcephaly, deafness, intellectual deficit and facial dysmorphism (facial asymmetry, prominent glabella, low-set and cup-shaped ears, protruding lower lip, micrognathia). It has been described in a mother and her son. The mode of inheritance is probably autosomal dominant.
MONDO:0007992	definition	Microcornea-glaucoma-absent frontal sinuses syndrome is characterized by microcornea, glaucoma and absent frontal sinuses. Less 10 cases have been described so far. The mode of transmission appears to be autosomal dominant.	Microcornea-glaucoma-absent frontal sinuses syndrome is characterised by microcornea, glaucoma and absent frontal sinuses. Less 10 cases have been described so far. The mode of transmission appears to be autosomal dominant.
MONDO:0007993	definition	This syndrome is characterized by the association of microgastria with a limb reduction defect.	This syndrome is characterised by the association of microgastria with a limb reduction defect.
MONDO:0016797	definition	A mitochondrial oxidative phosphorylation disorder in which mitochondrial DNA (mtDNA) level is lower than normal.	
MONDO:0008017	definition	A condition that affects the skin, hair, mucosa (areas ofthe body that are lined with mucus), gums (gingiva), eyes, nose and lungs. Symptoms typically begin in infancy and may include development of cataracts (clouding of the eye lens); blindness; hair loss (alopecia); abnormal changes to the perineum (the area between the anus and external genitalia); and small, skin-colored bumps (keratosis pilaris). Terminal lung disease has also been reported. The cause of HMD is thought to be an abnormality in desmosomes and gap junctions, which are structures involved in cell-to-cell contact. HMD typically follows autosomal dominant inheritance, but has occurred sporadically (in an individual who has no family history of the condition). Treatment typically focuses on individual symptoms of the condition.	Hereditary mucoepithelial dysplasia (HMD) is a condition that affects the skin, hair, mucosa (areas ofthe body that are lined with mucus), gums (gingiva), eyes, nose and lungs. Symptoms typically begin in infancy and may include development of cataracts (clouding of the eye lens); blindness; hair loss (alopecia); abnormal changes to the perineum (the area between the anus and external genitalia); and small, skin-colored bumps (keratosis pilaris). Terminal lung disease has also been reported. The cause of HMD is thought to be an abnormality in desmosomes and gap junctions, which are structures involved in cell-to-cell contact. HMD typically follows autosomal dominant inheritance, but has occurred sporadically (in an individual who has no family history of the condition). Treatment typically focuses on individual symptoms of the condition.
MONDO:0016063	definition	A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline PTEN mutations, it belongs to the PTEN hamartoma tumor syndrome (PHTS) group.	
MONDO:0008033	definition	OBSOLETE. Autosomal dominant limb-girdle muscular dystrophy type 1B (LGMD1B) is a subtype of autosomal dominant limb girdle muscular dystrophy characterized by a variable age of onset of progressive shoulder and hip girdle weakness, with inferior limbs usually being affected prior to upper limbs, and mild joint contractures. LGMD1B is also associated with cardiac dysrhythmias, including atrioventricular conduction blocks, and late-onset dilated cardiomyopathy, that may lead to sudden death.	Autosomal dominant limb-girdle muscular dystrophy type 1B (LGMD1B) is a subtype of autosomal dominant limb girdle muscular dystrophy characterized by a variable age of onset of progressive shoulder and hip girdle weakness, with inferior limbs usually being affected prior to upper limbs, and mild joint contractures. LGMD1B is also associated with cardiac dysrhythmias, including atrioventricular conduction blocks, and late-onset dilated cardiomyopathy, that may lead to sudden death.
MONDO:0008038	definition	A rare genetic disease characterized by cerebellar ataxia, cytopenias and predisposition to bone marrow failure and myeloid leukemia. Neurologic features variably include slowly progressive cerebellar ataxia or balance impairment with cerebellar atrophy and periventricular white matter T2 hyperintensities in brain MRI, horizontal and vertical nystagmus, dysmetria, dysarthria, pyramidal tract signs and reduced nerve conduction velocity. Hematological abnormalities are variable and may be intermittent and include cytopenias of all cell lineages, immunodeficiency, myelodysplasia and acute myeloid leukemia.	Ataxia-pancytopenia syndrome is a rare genetic disease characterized by cerebellar ataxia, cytopenias and predisposition to bone marrow failure and myeloid leukaemia. Neurologic features variably include slowly progressive cerebellar ataxia or balance impairment with cerebellar atrophy and periventricular white matter T2 hyperintensities in brain MRI, horizontal and vertical nystagmus, dysmetria, dysarthria, pyramidal tract signs and reduced nerve conduction velocity. Hematological abnormalities are variable and may be intermittent and include cytopenias of all cell lineages, immunodeficiency, myelodysplasia and acute myeloid leukemia.
MONDO:0008608	definition	Down syndrome is a chromosomal abnormality caused by the presence of a third (partial or total) copy of the chromosome 21 genetic material and that is characterized by variable intellectual disability, muscular hypotonia, and joint laxity, often associated with a characteristic facial dysmorphism and various anomalies such as cardiac, gastrointestinal, or endocrine defects.	Down syndrome is a chromosomal abnormality caused by the presence of a third (partial or total) copy of chromosome 21 and that is characterized by variable intellectual disability, muscular hypotonia, and joint laxity, often associated with a characteristic facial dysmorphism and various anomalies such as cardiac, gastrointestinal, or endocrine defects.
MONDO:0008043	definition	This syndrome is characterized by the association of myoclonus, cerebellar ataxia and sensorineural hearing loss.	This syndrome is characterised by the association of myoclonus, cerebellar ataxia and sensorineural hearing loss.
MONDO:0008048	definition	An inherited neuromuscular disorder defined by numerous centrally placed nuclei on muscle biopsy and clinical features of a congenital myopathy.	Autosomal dominant centronuclear myopathy (AD-CNM) is an inherited neuromuscular disorder defined by numerous centrally placed nuclei on muscle biopsy and clinical features of a congenital myopathy.
MONDO:0009710	definition	A rare, genetic, skeletal muscle channelopathy characterized by slow muscle relaxation after contraction (myotonia).	Myotonia congenita is characterised by slow muscle relaxation associated with hyperexcitation of the muscle fibres.
MONDO:0008060	definition	Nail dysplasia is an idiopathic nail dystrophy, beginning in early childhood, and characterized by excessive longitudinal striations and loss of nail luster affecting all 20 nails.	Nail dysplasia is an idiopathic nail dystrophy, beginning in early childhood, and characterised by excessive longitudinal striations and loss of nail luster affecting all 20 nails.
MONDO:0008075	definition	The least frequent form of the rare genetic disorder neurofibromatosis. It is clinically and genetically distinct from NF1 and NF2 and is characterized by the development of multiple schwannomas (nerve sheath tumors), without involvement of the vestibular nerves. NF3 develops in adulthood and is often associated with chronic pain. Dysesthesia and paresthesia may also be present. Common localizations include the spine, peripheral nerves, and the cranium.	Neurofibromatosis (NF) type 3 (NF3), also known as schwannomatosis, is the least frequent form of the rare genetic disorder neurofibromatosis. It is clinically and genetically distinct from NF1 and NF2 and is characterized by the development of multiple schwannomas (nerve sheath tumors), without involvement of the vestibular nerves. NF3 develops in adulthood and is often associated with chronic pain. Dysesthesia and paresthesia may also be present. Common localizations include the spine, peripheral nerves, and the cranium.
MONDO:0018975	definition	A clinically heterogeneous, neurocutaneous genetic disorder characterized by cafe-au-lait spots, iris Lisch nodules, axillary and inguinal freckling, and multiple neurofibromas.	Neurofibromatosis type 1 (NF1) is a clinically heterogeneous, neurocutaneous genetic disorder characterized by cafe-au-lait spots, iris Lisch nodules, axillary and inguinal freckling, and multiple neurofibromas.
MONDO:0018213	definition	Hereditary sensory neuropathy type I (HSN I) is a slowly progressive neurological disorder characterized by prominent predominantly distal sensory loss, autonomic disturbances, autosomal dominant inheritance, and juvenile or adulthood disease onset.	Hereditary sensory neuropathy type I (HSN I) is a slowly progressive neurological disorder characterised by prominent predominantly distal sensory loss, autonomic disturbances, autosomal dominant inheritance, and juvenile or adulthood disease onset.
MONDO:0018997	definition	Noonan Syndrome (NS) is characterized by short stature, typical facial dysmorphism and congenital heart defects.	Noonan Syndrome (NS) is characterised by short stature, typical facial dysmorphism and congenital heart defects.
MONDO:0018746	definition	Mucous membrane pemphigoid is a bullous dermatosis characterized clinically by blistering of the mucous membranes followed by scarring, and immunologically by IgG, IgA and/or C3 deposits on the epidermal basement membrane.	Mucous membrane pemphigoid is a bullous dermatosis characterised clinically by blistering of the mucous membranes followed by scarring, and immunologically by IgG, IgA and/or C3 deposits on the epidermal basement membrane.
MONDO:0008120	definition		Spinocerebellar ataxia type 7 (SCA7), currently the only known form of autosomal dominant cerebellar ataxia type 2 (ADCA2), is a neurodegenerative disorder characterized by progressive ataxia, motor system abnormalities, dysarthria, dysphagia and retinal degeneration leading to progressive blindness.
MONDO:0020478	definition	Leber `plus' disease describes patients with the clinical features of Leber's hereditary optic neuropathy (LHON) in combination with other serious systemic or neurological abnormalities. These abnormalities include: postural tremor, motor disorder, multiple sclerosis-like syndrome, spinal cord disease, skeletal changes, Parkinsonism with dystonia, anarthria, dystonia, motor and sensory peripheral neuropathy, spasticity and mild encephalopathy. It is caused by maternally-inherited mitochondrial DNA (mtDNA) mutations.	Leber `plus' disease describes patients with the clinical features of Leber's hereditary optic neuropathy (LHON; see term) in combination with other serious systemic or neurological abnormalities. These abnormalities include: postural tremor, motor disorder, multiple sclerosis-like syndrome, spinal cord disease, skeletal changes, Parkinsonism with dystonia, anarthria, dystonia, motor and sensory peripheral neuropathy, spasticity and mild encephalopathy. It is caused by maternally-inherited mitochondrial DNA (mtDNA) mutations.
MONDO:0008134	definition	One of the most common forms of hereditary optic neuropathy characterized by progressive bilateral visual loss during the first decade of life, associated with optic disk pallor, visual field and color vision defects.	Autosomal dominant optic atrophy (ADOA) is one of the most common forms of hereditary optic neuropathy characterized by progressive bilateral visual loss during the first decade of life, associated with optic disc pallor, visual field and color vision defects.
MONDO:0008139	definition	OSLAM syndrome is characterized by the association of osteosarcoma, limb anomalies (clinodactyly with brachymesophalangy, bilateral radioulnar synostosis and absence of one digital ray of the foot) and red cell macrocytosis without anemia.	OSLAM syndrome is characterised by the association of osteosarcoma, limb anomalies (clinodactyly with brachymesophalangy, bilateral radioulnar synostosis and absence of one digital ray of the foot) and red cell macrocytosis without anaemia.
MONDO:0008195	definition	Paramyotonia congenita of Von Eulenburg is characterized by exercise- or cold-induced myotonia and muscle weakness. Prevalence is unknown. The syndrome is nonprogressive and is transmitted as an autosomal dominant trait. It is caused by mutations in the gene encoding the alpha subunit of the type IV voltage-gated sodium channel (SCN4A; 17q23.3).	Paramyotonia congenita of Von Eulenburg is characterised by exercise- or cold-induced myotonia and muscle weakness. Prevalence is unknown. The syndrome is nonprogressive and is transmitted as an autosomal dominant trait. It is caused by mutations in the gene encoding the alpha subunit of the type IV voltage-gated sodium channel (SCN4A; 17q23.3).
MONDO:0020381	definition	A macular degeneration characterized by abnormal accumulation of lipofuscin in the retinal pigment epithelium in a distinct pattern, patterns include; reticular ('fishnet-like'), macroreticular ('spider-shaped'), and butterfly-shaped.	Butterfly-shaped pigment dystrophy is a patterned dystrophy of the retinal pigment epithelium characterized by abnormal accumulation of lipofuscin in a butterfly-shaped distribution at the retinal pigment epithelium level. Patients manifest with a slowly progressive loss of vision that often only becomes apparent in old age.
MONDO:0008219	definition	Pemphigus is a group of chronic autoimmune skin diseases characterized by blister formations on the outer layer of the skin and the mucous membranes. Three clinical forms have been characterized, of which pemphigus vulgaris is the most frequent (75%).	Pemphigus is a group of chronic autoimmune skin diseases characterized by blister formations on the outer layer of the skin and the mucous membranes. Three clinical forms have been characterised, of which pemphigus vulgaris is the most frequent (75%).
MONDO:0008221	definition	An inherited disorder of peptide metabolism characterized by severe skin lesions, recurrent infections (involving mainly the skin and respiratory system), dysmorphic facial features, variable cognitive impairment, and splenomegaly.	Prolidase deficiency is an inherited disorder of peptide metabolism characterized by severe skin lesions, recurrent infections (involving mainly the skin and respiratory system), dysmorphic facial features, variable cognitive impairment, and splenomegaly.
MONDO:0008223	definition	Hypokalemic periodic paralysis (hypoPP) is characterized by episodes of muscle paralysis lasting from a few to 24-48 hours and associated with a fall in blood potassium levels.	Hypokalemic periodic paralysis (hypoPP) is characterised by episodes of muscle paralysis lasting from a few to 24-48 hours and associated with a fall in blood potassium levels.
MONDO:0008237	definition	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome is characterized by phocomelia (involving arms more severely), ectrodactyly, ear anomalies (bilateral anomalies of the pinnae), conductive deafness, dysmorphism (long and prominent philtrum, mild maxillary hypoplasia) and sinus arrhythmia. It has been described in four patients (a father and his son and a mother and her daughter) from two unrelated families.	Phocomelia-ectrodactyly-deafness-sinus arrhythmia syndrome is characterised by phocomelia (involving arms more severely), ectrodactyly, ear anomalies (bilateral anomalies of the pinnae), conductive deafness, dysmorphism (long and prominent philtrum, mild maxillary hypoplasia) and sinus arrhythmia. It has been described in four patients (a father and his son and a mother and her daughter) from two unrelated families.
MONDO:0008270	definition	A form of preaxial polydactyly of fingers, a limb malformation syndrome, that is characterized by the presence of a usually opposable triphalangeal thumb with or without additional duplication of one or more skeletal components of the thumb. The thumb appearance can differ widely in shape (wedge to rectangular) or it can be deviated in the radio-ulnar plane (clinodactyly). PPD2 is also associated with systemic syndromes, including Holt-Oram syndrome and Fanconi anemia.	Polydactyly of a triphalangeal thumb or PPD2 is a form of preaxial polydactyly of fingers, a limb malformation syndrome, that is characterized by the presence of a usually opposable triphalangeal thumb with or without additional duplication of one or more skeletal components of the thumb. The thumb appearance can differ widely in shape (wedge to rectangular) or it can be deviated in the radio-ulnar plane (clinodactyly). PPD2 is also associated with systemic syndromes, including Holt-Oram syndrome and Fanconi anemia.
MONDO:0015104	definition	The most common form of chronic hepatic porphyria. It is characterized by bullous photodermatitis.	Porphyria cutanea tarda (PCT) is the most common form of chronic hepatic porphyria. It is characterized by bullous photodermatitis.
MONDO:0008311	definition	Progeria-short stature-pigmented nevi is a progeroid disorder characterized by low birthweight, short stature, multiple pigmented nevi and lack of facial subcutaneous fat.	Progeria-short stature-pigmented nevi is a progeroid disorder characterised by low birthweight, short stature, multiple pigmented nevi and lack of facial subcutaneous fat.
MONDO:0008323	definition	A rare genetic form of low-renin hypertension characterized by hypertension associated with decreased plasma levels of potassium and aldosterone.	Liddle syndrome is a rare inherited form of hypertension characterized by severe early-onset hypertension associated with decreased plasmatic levels of potassium, renin and aldosterone.
MONDO:0008331	definition	OBSOLETE. Apparent optic disk swelling in the absence of increased intracranial pressure.	Apparent optic disc swelling in the absence of increased intracranial pressure.
MONDO:0008332	definition	A bleeding disorder characterized by mild to moderate mucocutaneous bleeding, which becomes more pronounced during pregnancy or following ingestion of drugs that have anti-platelet activity. PT-VWD is due to hyperresponsive platelets, resulting in thrombocytopenia.	Platelet type Von Willebrand disease (PT-VWD) is a bleeding disorder characterized by mild to moderate mucocutaneous bleeding, which becomes more pronounced during pregnancy or following ingestion of drugs that have anti-platelet activity. PT-VWD is due to hyperresponsive platelets, resulting in thrombocytopenia.
